second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;16.0;28.0;1.0;0.5;0.5;0.0034377747;0.0034377747;0.0032081604003906;68.0;0.41463414;0.41463414;0.0;0.0;0.0;1.0;1.0
61.0;2.0;32.0;1.0;0.5;1.0;0.01388922;1.0;0.0200004577636718;37.0;0.5;1.0;0.0;0.0;0.0;1.0;2.0
60.0;16.0;28.0;1.0;0.5;0.5;0.0034377747;0.0034377747;0.0032081604003906;68.0;0.41463414;0.41463414;0.0;0.0;0.0;1.0;3.0
61.0;2.0;33.0;1.0;0.5;1.0;0.01388922;1.0;0.0200004577636718;37.0;0.5;1.0;0.0;0.0;0.0;1.0;4.0
61.0;2.0;32.0;1.0;0.5;1.0;0.01388922;1.0;0.0200004577636718;37.0;0.5;1.0;0.0;0.0;0.0;1.0;5.0
60.0;37.0;49.0;1.0;0.5;0.5;0.9965622425079346;0.9965622425079346;0.9300003051757812;96.0;0.5853658318519592;0.5853658318519592;1.0;0.0;0.0;0.0;1.0
61.0;4.0;32.0;1.0;0.5;1.0;0.9861108064651488;1.0;1.4199981689453125;37.0;0.5;1.0;0.0;0.0;0.0;1.0;2.0
60.0;37.0;49.0;1.0;0.5;0.5;0.9965622425079346;0.9965622425079346;0.9300003051757812;96.0;0.5853658318519592;0.5853658318519592;1.0;0.0;0.0;0.0;3.0
61.0;4.0;33.0;1.0;0.5;1.0;0.9861108064651488;1.0;1.4199981689453125;37.0;0.5;1.0;0.0;0.0;0.0;1.0;4.0
61.0;4.0;32.0;1.0;0.5;1.0;0.9861108064651488;1.0;1.4199981689453125;37.0;0.5;1.0;0.0;0.0;0.0;1.0;5.0
61.0;35.0;49.0;1.0;0.1666666716337204;0.1666666716337204;0.339363157749176;0.339363157749176;0.2999992370605469;96.0;0.2848664820194244;0.2848664820194244;1.0;0.0;0.0;0.0;1.0
62.0;24.0;16.0;2.0;0.6666666865348816;0.6666666865348816;0.7514244914054871;0.7514244914054871;0.0080490112304687;187.0;0.7857142686843872;0.7857142686843872;0.0;0.0;2.0;0.0;2.0
61.0;35.0;49.0;1.0;0.1666666716337204;0.1666666716337204;0.339363157749176;0.339363157749176;0.2999992370605469;96.0;0.2848664820194244;0.2848664820194244;1.0;0.0;0.0;0.0;3.0
62.0;25.0;17.0;2.0;0.6666666865348816;0.6666666865348816;0.7514244914054871;0.7514244914054871;0.0080490112304687;187.0;0.7857142686843872;0.7857142686843872;0.0;0.0;2.0;0.0;4.0
62.0;24.0;16.0;2.0;0.6666666865348816;0.6666666865348816;0.7514244914054871;0.7514244914054871;0.0080490112304687;187.0;0.7857142686843872;0.7857142686843872;0.0;0.0;2.0;0.0;5.0
61.0;1.0;32.0;1.0;0.1666666716337204;0.6666666865348816;0.0226247850805521;0.6561058163642883;0.0200004577636718;37.0;0.1097922846674919;0.4391691386699676;0.0;0.0;0.0;1.0;1.0
62.0;16.0;24.0;1.0;0.3333333432674408;0.3333333432674408;0.2485754936933517;0.2485754936933517;0.0026626586914062;51.0;0.2142857164144516;0.2142857164144516;0.0;0.0;0.0;1.0;2.0
61.0;1.0;32.0;1.0;0.1666666716337204;0.6666666865348816;0.0226247850805521;0.6561058163642883;0.0200004577636718;37.0;0.1097922846674919;0.4391691386699676;0.0;0.0;0.0;1.0;3.0
62.0;17.0;25.0;1.0;0.3333333432674408;0.3333333432674408;0.2485754936933517;0.2485754936933517;0.0026626586914062;51.0;0.2142857164144516;0.2142857164144516;0.0;0.0;0.0;1.0;4.0
62.0;16.0;24.0;1.0;0.3333333432674408;0.3333333432674408;0.2485754936933517;0.2485754936933517;0.0026626586914062;51.0;0.2142857164144516;0.2142857164144516;0.0;0.0;0.0;1.0;5.0
61.0;3.0;32.0;1.0;0.1666666716337204;0.6666666865348816;0.0113145504146814;0.6561058163642883;0.0100021362304687;37.0;0.1097922846674919;0.4391691386699676;0.0;0.0;0.0;1.0;1.0
63.0;16.0;24.0;1.0;1.0;1.0;1.0;1.0;0.0029525756835937;60.0;1.0;1.0;0.0;0.0;0.0;2.0;2.0
61.0;3.0;32.0;1.0;0.1666666716337204;0.6666666865348816;0.0113145504146814;0.6561058163642883;0.0100021362304687;37.0;0.1097922846674919;0.4391691386699676;0.0;0.0;0.0;1.0;3.0
63.0;17.0;25.0;1.0;1.0;1.0;1.0;1.0;0.0029525756835937;60.0;1.0;1.0;0.0;0.0;0.0;2.0;4.0
63.0;16.0;24.0;1.0;1.0;1.0;1.0;1.0;0.0029525756835937;60.0;1.0;1.0;0.0;0.0;0.0;2.0;5.0
